岗位名称,企业名称,最低薪资,最高薪资,工作城市,工作区域,工作街道,学历要求,工作年限要求,企业规模,企业性质,工作类型,岗位发布时间,岗位要求,source,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求,任意一种计算机语言都可以～都在招哦～全国多个城市在招,偶尔加班若加班一天工作时间不超过10小时， 具体时间以项目告知为准 4.能一周左右入职 5.工作地点,善于寻求资源解决问题;对工作的熟悉度提升后，有自己创新的想法。表现出解决复杂问题的能力。6.可独立领导跨组的项目;在专业方面可以指导和培养新员工任职条件,工作稳定。入职即签合同，六险一金，社保全额，有带教！地点:北京 上海 杭州 苏州 南京 成都 武汉 西安 深圳 东莞全程线上面试，下午茶齐全，夜宵备好，城际班车。硬件开发/嵌入式开发/AI/算法/通用软件开发测试等都有职位。java/c/++/python/测试/GO/前端职位描述,开展后端服务的设计、开发、测试等工作；3、根据实际业务需求，完成各类设计文档、分析报告、ppt等材料的部分内容；4、根据部门领导安排的其他工作任务。 岗位要求,程序设计；3.根据设计文档或需求说明完成代码编写，调试，测试和维护；4.分析并解决软件开发过程中的问题；5.协助测试工程师制定测试计划，定位发现的问题；6.配合项目经理完成相关任务目标。任职要求,能提出优化建议。二、 任职要求,负责对应模块的需求管理；2、完成所负责模块的详细设计和接口设计； 3、负责分配到的开发任务或项目的进度控制；4、负责开发过程中异常情况的检核、报告、追踪和改善；5、负责自己开发的功能点的单元测试工作，并确保功能点品质。任职要求
Java/Python/C++/C/前端/测试工程师全国,外企德科数字技术有限公司,16001,30000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:27,职位描述全额五险一金，试用期全新不打折后端开发、前端开发、测试、大数据、运维等岗位职责：1、负责研发领域IT系统技术方案的设计、开发等工作;2、负责项目开发过程中的技术攻关及解决运行中出现的技术问题;3、负责产品核心模块的代码编写和LLT测试:4、负责产品疑难问题的分析和定位。岗位要求:1、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/Python/JS/HTML/GO等编程语言中的一种或...,Boss直聘,,,,,,,,,
嵌入式软件开发工程师（汽车电子）,瞬联软件科技(北京)有限公司,20001,30000,成都,武侯,桂溪,本科,5-10年,1000-9999人,外商独资,全职,2025-07-10 00:28:41,请注意，外包岗位，如介意，请绕行，谢谢！岗位职责1、负责AUTOSAR Classic Platform（CP）基础软件模块的需求分析、软件开发实现、软件代码集成、软件集成调试、软件维护及bug 修复等工作；2、负责软件开发设计文档撰写及相关开发规范制定；3、对产品使用情况进行跟踪调试，依据市场需求和产品发展及时优化软件，不断提升产品性能。4、负责功能安全产品的开发相关工作。任职资格：1、 计算机...,Boss直聘,,,,,,,,,
人保财险-总公司-信息技术类-开发岗（成都）-科技专项招聘(J67849),中国人民财产保险股份有限公司,0,0,成都,锦江,春熙路,硕士,经验不限,10000人以上,国企,全职,2025-07-10 00:07:41,岗位职责: 1.接收系统业务需求说明书，参与系统功能的需求分析、编写设计文档及研发工作； 2.负责相关系统开发，参与代码走查、代码评审等工作，协助制定需求和开发计划； 3.完成软件系统的上线和推广等工作，与业务部门对接，解决程序问题。 任职要求: 1.硕士研究生； 2.计算机相关专业； 3.具备一定的c/java/python编程能力； 4.熟练掌握软件测试相关知识理论； 5熟.悉unix平台常用...,Boss直聘,,,,,,,,,
软件开发/软件测试（接受25届无经验+导师带教）,外企德科数字技术有限公司,15001,30000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:27:17,岗位职责：1、负责应用软件开发和维护工作；2、负责软件模块需求分析、系核心模块代码编写和单元测试，完成概要设计文档、详细设计文档；3、积极主动的与项目相关人员沟通交流，持续改善产品体验。业务技能要求：1、熟练掌握常用数据结构；2、了解计算机组成原理、操作系统、网络等，熟悉Java/Python/C/C++/Go/js等一种或多种编程语言；3、熟悉客户端与服务器通信协议,Boss直聘,,,,,,,,,
嵌入式开发工程师,秦川物联网,15001,25000,成都,龙泉驿,大面,本科,5-10年,500-999人,上市公司,全职,2025-07-10 00:10:03,【工作内容】1、负责嵌入式软件系统方案的设计和实施； 2、负责嵌入式软件部分需求确定及项目文件编制； 3、负责样品制作和性能调试； 4、负责生产检测辅助设计； 5、负责产品问题和故障软件部分的分析及解决； 6、负责根据质量体系要求的内容，进行产品嵌入式部分的开发设计； 7、参与电路板测试、故障诊断及维修；8、参与产品开发过程中技术方案的讨论和开发的评审。【任职要求】1、电气工程、电力电子、自动控制...,Boss直聘,,,,,,,,,
全栈工程师（Vue+Java）,四川信都科技有限责任公司,8001,13000,成都,武侯,火车南站,本科,5-10年,20-99人,民营,全职,2025-07-10 00:30:03,岗位职责：1. 负责现有系统的维护工作，保证系统稳定可靠运行及后续迭代升级；2. 负责新产品的开发，程序优化，功能完善；确保代码质量和系统稳定性。3. 遵循公司开发规范，编写代码注释和开发文档，代码高可读性。4. 分析并解决项目开发过程中的问题；5. 配合客户进行线上沟通、现场调试和安装。6. 完成领导安排的其它任务。任职要求：1、本科及以上，计算机相关专业，熟练使用html、css 、vue进行...,Boss直聘,,,,,,,,,
软件开发工程师,外企德科数字技术有限公司,13001,26000,成都,郫都,合作街道,本科,无经验,10000人以上,合资,全职,2025-07-10 00:24:26,任职要求:1、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/ 等编程语言中的一种或数种，有良好的编程习惯;2、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践;3、对数据结构 算法有一定了解职位福利：弹性工作、带薪年假、绩效奖金、五险一金,Boss直聘,,,,,,,,,
嵌入式软件开发工程师,成都凌亚科技有限公司,20001,35000,成都,金牛,金泉,本科,5-10年,100-299人,民营,全职,2025-07-10 00:27:03,• 编程语言o 精通C/C++（必备），熟悉汇编语言（部分岗位要求）。o 了解Python/Shell等脚本语言（用于自动化测试或工具开发）。• 嵌入式系统基础o 熟悉RTOS（FreeRTOS、ThreadX、Zephyr等）或Linux嵌入式系统开发。o 理解处理器架构（ARM Cortex-M/A、RISC-V等）及外设驱动开发（UART、SPI、I2C、SRIO等）。• 中间件开发经验o ...,Boss直聘,,,,,,,,,
嵌入式开发工程师,成都网感科技有限公司,8001,15000,成都,郫都,犀浦,本科,3-5年,20-99人,民营,全职,2025-07-09 22:49:58,岗位职责：1. 根据项目进度，负责产品嵌入式软件开发和设计工作；2. 完成产品相关技术文档的编写、归档；3 .分析并解决产品开发和生产过程的问题；4.上级安排的其他工作。任职要求：1. 本科及以上学历，计算机、电子、通信、自动化等相关专业，拥有嵌入式软件开发5年左右工作经验；2. 精通C语言，理解单片机系统原理，能熟练看懂硬件原理图；3. 熟悉STM32系列MCU的嵌入式软件开发，熟悉I2C、SP...,Boss直聘,,,,,,,,,
JAVA/C++/C/Python/JS/HTML/测试,外企德科数字技术有限公司,13001,25000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:27:10,任职要求:1、热爱编程，基础扎实，熟悉掌握但不限JAVA/C++/C/Python/JS/HTML/ 等编程语言中的一种或数种，有良好的编程习惯;2、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践;3、对数据结构 算法有一定了解。,Boss直聘,,,,,,,,,
