岗位名称,企业名称,最低薪资,最高薪资,工作城市,工作区域,工作街道,学历要求,工作年限要求,企业规模,企业性质,工作类型,岗位发布时间,岗位要求,source,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求,任意一种计算机语言都可以～都在招哦～全国多个城市在招,偶尔加班若加班一天工作时间不超过10小时， 具体时间以项目告知为准 4.能一周左右入职 5.工作地点,善于寻求资源解决问题;对工作的熟悉度提升后，有自己创新的想法。表现出解决复杂问题的能力。6.可独立领导跨组的项目;在专业方面可以指导和培养新员工任职条件,工作稳定。入职即签合同，六险一金，社保全额，有带教！地点:北京 上海 杭州 苏州 南京 成都 武汉 西安 深圳 东莞全程线上面试，下午茶齐全，夜宵备好，城际班车。硬件开发/嵌入式开发/AI/算法/通用软件开发测试等都有职位。java/c/++/python/测试/GO/前端职位描述,开展后端服务的设计、开发、测试等工作；3、根据实际业务需求，完成各类设计文档、分析报告、ppt等材料的部分内容；4、根据部门领导安排的其他工作任务。 岗位要求,程序设计；3.根据设计文档或需求说明完成代码编写，调试，测试和维护；4.分析并解决软件开发过程中的问题；5.协助测试工程师制定测试计划，定位发现的问题；6.配合项目经理完成相关任务目标。任职要求,能提出优化建议。二、 任职要求,负责对应模块的需求管理；2、完成所负责模块的详细设计和接口设计； 3、负责分配到的开发任务或项目的进度控制；4、负责开发过程中异常情况的检核、报告、追踪和改善；5、负责自己开发的功能点的单元测试工作，并确保功能点品质。任职要求
java（短期2个月，可选择是否购买五险一金 ）,广东善世企业服务集团有限公司,13001,14000,成都,金牛,茶店子,大专,3-5年,100-299人,民营,全职,2025-07-09 18:54:38,java（短期2个月，可选择是否购买五险一金 ） 您好！这是大衡天成java岗外包编制，做的是JG项目难度不大，线上一轮面试即可： 1.周期2个月，按照表现有机会续签 2.薪酬14K/月底薪（包含了加班工资），可选择是否购买五险一金 3.工作时间：6天工作制，正常上班时间8:30-17:30,Boss直聘,,,成都...,,,,,,
java工程师（一个月项目）,北京易才博普奥管理顾问有限公司,9001,13000,成都,崇州,崇阳,大专,3-5年,1000-9999人,民营,全职,2025-07-09 18:38:42,岗位职责：1、按照项目里程碑计划完成安排的软件开发和单元测试工作；2、参与软件的系统设计、模块设计，按照需要完成详细设计；3、书写相关的技术类文档。4、配合质量管理、项目管理、测试管理工作。任职要求：◆ 4年以上java 项目开发经验1、大专毕业或以上，计算机及其相关专业；2、精通Java开发语言，有扎实的java编码基础（微服务经验要求）3、熟悉SpringBoot、SpringCloud、My...,Boss直聘,,,,,,,,,
JAVA软件工程师,外企德科数字技术有限公司,12001,24000,成都,郫都,合作街道,本科,1-3年,10000人以上,合资,全职,2025-07-10 00:26:50,岗位内容：1. 负责Java应用程序的设计与开发，包括需求分析、系统设计、编码和测试等环节。2. 研究新技术，不断提升开发效率和程序性能。3. 改进现有系统、优化系统资源，提高系统稳定性和可靠性。4. 参与团队内部培训、交流与分享会议，促进整个团队技术水平的提升。任职要求：1. 熟悉Java语言，熟练掌握Spring框架及相关开源技术。2. 具备扎实的计算机基础，熟悉数据结构、算法和网络编程等知识...,Boss直聘,,,,,,,,,
嵌入式开发工程师,成都易联智通信息技术有限公司,5001,10000,成都,武侯,桂溪,本科,1-3年,100-299人,民营,全职,2025-07-09 17:26:35,嵌入式岗位 ： 四年以上经验岗位职责：1.负责嵌入式软件开发，模块的详细设计、编码和单元测试，开发及维护工作；2.负责嵌入式软件相关文档的编写（软件需求分析文档、设计文档、测试文档等）；3.参与故障件问题分析解决；4.负责嵌入式软件平台架构设计、开发及维护工作。任职要求：1.本科及以上学历，电子、通信、计算机相关专业优先，三年以上嵌入式系统软件开发经验优先； ；2.熟悉计算机组成原理、数据结构、设...,Boss直聘,,,,,,,,,
java技术经理,北京安合众道安全技术有限公司,20001,23000,成都,武侯,金花桥,本科,5-10年,20-99人,民营,全职,2025-07-09 16:00:36,一、技术职责：1、处理公司现有技术框架存在的问题并实施有效优化；2、负责提升软件开发人员的整体设计与开发技能；3、搭建软件构件库、完成第三方控件选型，以此增强产品在行业内的竞争力；4、打造高质量技术货架，保障产品能够准时且保质交付；5、确保产品长期运行过程中的技术稳定性。二、管理职责：1、参与公司软件产品技术方向的制定，明确产品技术框架及开发实施规划；2、统筹产品研发进度，根据公司需求准确评估开发...,Boss直聘,,,,,,,,,
软件开发工程师,外企德科数字技术有限公司,12001,24000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:26:44,岗位职责： 1、负责应用软件开发和维护工作。 2、负责软件模块需求分析、系核心模块代码编写和单元测试，完成概要设计文档、详细设计文档。 3、积极主动的与项目相关人员沟通交流，持续改善产品体验。 任职要求： 业务技能要求： 1、熟练掌握常用数据结构。 2、熟悉计算机组成原理、操作系统、网络等。 岗位要求： 1、 精通JAVA/Python/C/C ++/GO开发，精通多线程、 IO 、网络编程等； ...,Boss直聘,,,,,,,,,
嵌入式软件开发工程师,四川爱奢机科技有限公司,5001,9000,成都,武侯,桂溪,大专,1年以下,20-99人,,全职,2025-07-09 15:49:40,工作内容：1.使用 c语言/c++ 进行软件开发和维护;2.根据项目要求，参与部分设计、测试文档的编写;岗位要求:岗位职责：1.本科及以上学历，计算机相关专业; 2.熟悉 QT/C++，了解QML、JavaScript更好; 4.有良好的代码能力，能够编写清晰、高效的代码 5.工作积极主动，具有极强的责任心和较好的沟通能力; 6.具有一定的抗压能力; 7.有相关工作经验者优先;工作时间：早九晚六双...,Boss直聘,,,,,,,,,
资深固件开发工程师,成都优博创通信技术有限公司,20001,40000,成都,双流,怡心,本科,5-10年,500-999人,民营,全职,2025-07-09 15:04:07,岗位职责： 1、负责光模块ONUSTICK类固件开发。 任职要求： 1、电子、通信、自动化等相关专业； 2、熟悉GPON、XGSPON MAC层协议； 3、熟悉VLAN、以太网协议； 4、熟悉基于Openwrt/linux/free rtos操作系统的嵌入式C代码开发； 5、具有Maxliner,Boss直聘,,,,,,,,,
全国均有岗位【软件开发、测试、算法工程师】,外企德科数字技术有限公司,19001,35000,成都,武侯,桂溪,本科,1-3年,10000人以上,合资,全职,2025-07-10 00:25:42,菊厂代招OD【岗位】开发、测试、前端、算法、数开、运维工程师岗位--欢迎投递！注：机考通过后、根据候选人意向岗位/城市与需求部门做匹配--先业务方向沟通，候选人OK了再安排后续面试--入职（多部门/多城市可选)；【岗位要求】1. 统全本科，可接受应届、考研断档、 0 经验；2. 掌握任意一种 或多种 编程语言：Java/C/C++/C#/Python/Go/JavaScript等；能通过机考；【福...,Boss直聘,,,,,,,,,
后端开发工程师,金风科技股份有限公司,8001,15000,成都,武侯,桂溪,本科,3-5年,1000-9999人,股份制企业,全职,2025-07-09 13:42:24,岗位职责：1、能够深入理解业务，将技术实现与业务场景联系；2、与产品、前端开发人员保持良好沟通，实现产品功能开发；3、编写高质量文档，并按文档实现代码；4、有良好的编码规范、质量；5、对现有系统的不足进行分析，进行重构和优化；任职要求：1、211院校及以上计算机相关专业，3年以上相关经验，有良好的Java语言基础；2、熟悉网络、IO、多线程等；熟练使用常用的开发框架（Springboot、MyBa...,Boss直聘,,,,,,,,,
Java后端工程师（铁塔）,新讯数字科技(杭州)有限公司成都分公司,8001,14000,成都,双流,华阳,本科,3-5年,1000-9999人,股份制企业,全职,2025-07-09 12:35:23,岗位职责：业务、接口和数据库等全部后端设计开发内容岗位要求：1、计算机相关专业本科以上学历，3年以上相关工作经验；2、扎实的Java web编程基础，熟练掌握 Spring、SpringMVC、Mybatis框架，及SSM框架的搭建；3、熟悉Linux环境、Tomcat， Nginx等开源的服务器的操作，熟悉MySQL,Boss直聘,,,,,,,,,
Java/C++/Python 工程师,外企德科数字技术有限公司,14001,25000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:26:33,岗位职责1. 负责公司核心产品的前后端功能开发、系统设计与代码实现；2. 参与需求分析、技术方案设计及代码评审，推动项目高质量交付；3. 优化现有系统架构，提升服务性能与稳定性；4. 配合测试团队完成系统联调与问题修复，保障用户体验；5. 跟踪技术发展趋势，探索新技术在业务场景中的应用落地。技术能力* 至少熟练掌握Java/Python/C++等中的一门语言，具备扎实的算法与数据结构基础；* 熟悉...,Boss直聘,,,,,,,,,
Java（金融）,广东美的制冷设备有限公司,0,0,成都,武侯,桂溪,本科,3-5年,10000人以上,上市公司,全职,2025-07-09 11:30:03,岗位要求：1.负责业务系统的需求分析、设计、开发等工作;设计、编码及单元测试;2.参与新技术、新课题的研究与开发，持续提升优化系统性能，3.有中间件使用经验，熟悉开源中间件技术应用(如Dubbo、保证系统运行的安全、稳定与效率;ZooKeeper、Redis、RocketlQ、Nacos、ElasticSearch等)3.负责或参与初、中级工程师的指导、培训，把控项目推进的时间和进度任职要求：1....,Boss直聘,,,,,,,,,
初级java工程师,四川贝壳口袋家居有限公司,11001,12000,成都,龙泉驿,龙泉,本科,1-3年,100-299人,民营,全职,2025-07-09 11:59:32,岗位内容：1. 开发高质量的Java应用程序，保证代码的可读性、可维护性、可扩展性和性能。2. 参与需求分析、系统设计和开发计划的制定。3. 能够快速识别问题并提供有效的解决方案。4. 与产品和测试团队紧密合作，确保产品质量符合用户期望。任职要求：1. 精通Java编程语言和Spring框架，有大型项目开发经验。2. 拥有扎实的计算机基础，熟练掌握面向对象编程思想和设计模式。3. 熟练使用常见的W...,Boss直聘,,,,,,,,,
Java/Python/C/C++/Web/测试工程师,外企德科数字技术有限公司,14001,28000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:26:14,职位描述1、熟练掌握Java、python等主流开发语言的一种，掌握常见的数据结构、了解软件工程、敏捷开发等知识，熟悉常用设计模式；2、了解主流数据库技术，至少精通mysql、postgresql等主流数据库技术中的一种；有SQL语句调优经验，并在中大型项目中实际应用者优先；3、熟悉spring boot，mybatis或flask等常用框架；4、了解分布式系统原理；熟悉ElasticSearch...,Boss直聘,,,,,,,,,
嵌入式开发工程师,德科信息有限公司,11001,18000,成都,武侯,桂溪,本科,1-3年,1000-9999人,民营,全职,2025-07-09 11:25:25,岗位职责： 1.负责完成产品的软件需求分析及架构设计; 2.负责软件开发、应用程序开发、软件测试等工作; 3.完成系统联调; 4.负责编写软件设计及测试规范和设计文档。 任职要求: 1.有上位机，QT框架，MFC，MCU等相关经验 2.精通C/C++语言,Boss直聘,,,,,,,,,
软件开发工程师,河北耀晴电子科技有限公司,10001,15000,成都,武侯,石羊,本科,3-5年,20-99人,民营,全职,2025-07-09 10:06:23,岗位职责： 负责微波射频领域上位机软件的设计、开发、调试及维护工作； 基于ARM平台开发嵌入式软件，实现与射频硬件设备的通信与控制； 使用C/C++/C#语言在Visual Studio或QT框架下开发跨平台应用程序； 编写驱动程序及通信协议，保障上位机与硬件设备的高效数据交互； 协同硬件工程师完成系统联调，优化软件性能与稳定性； 参与需求分析、技术文档编写及全生命周期项目管理。 任职要求： 1....,Boss直聘,,,,,,,,,
Java/C++/测试/python,外企德科数字技术有限公司,12001,23000,成都,武侯,红牌楼,本科,1-3年,10000人以上,合资,全职,2025-07-10 00:24:29,1、至少精通一门编程语言：C/C++/Java/Python/go，熟悉数据结构和常用算法；2、具备良好的计算机、软件工程领域知识.地域：北京/上海/杭州/深圳//西安/南京/武汉/成都/东莞学历要求：本科一本以上，优先985/211（南邮/重邮/杭电）工作经验:不限年龄:35岁以下,Boss直聘,,,,,,,,,
java测试,成都郝蓉宜恺文化传媒有限公司,11001,13000,成都,武侯,簇锦,中专/中技,经验不限,100-299人,,全职,2025-07-09 10:15:37,岗位内容：1. 设计和执行测试用例，并记录测试结果。2. 分析并报告软件缺陷，包括重现步骤、缺陷严重程度和影响范围。3. 参与产品设计过程，提供测试建议和反馈。4. 开发自动化测试脚本和工具。5. 执行性能和负载测试的任务。任职要求：1. 具有本科以上学历，计算机科学或相关领域优先。2. 熟悉测试方法论和流程，能够编写高质量的测试用例。3. 熟练使用至少一种自动化测试框架和脚本语言（如Seleni...,Boss直聘,,,,,,,,,
高级java工程师,四川廉邦航空服务有限公司,11001,15000,成都,成华,跳蹬河,大专,1-3年,20-99人,,全职,2025-07-09 09:53:07,岗位内容：1. 负责Java应用程序的设计与开发，包括需求分析、系统设计、编码和测试等环节。2. 研究新技术，不断提升开发效率和程序性能。3. 改进现有系统、优化系统资源，提高系统稳定性和可靠性。4. 参与团队内部培训、交流与分享会议，促进整个团队技术水平的提升。任职要求：1. 熟悉Java语言，熟练掌握Spring框架及相关开源技术。2. 具备扎实的计算机基础，熟悉数据结构、算法和网络编程等知识...,Boss直聘,,,,,,,,,
前端，后端，算法，测试开发工程师,外企德科数字技术有限公司,14001,28000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:26,***统本学历（学信网可查），开发，测试，算法均有需求，无线，云计算，2012，光等多条产品线可选，技术前沿，前期有导师带教*** 1、热爱编程，编程基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/GO等编程语言中的一种或数种，有良好的编程习惯； 2、熟悉常用算法和数据结构，精通网络编程、多线程编程； 3、熟练掌握软件开发知识和技能，可负责子系统/模块级的设计、开发、测试任务； 可独...,Boss直聘,,,,,,,,,
嵌入式系统开发工程师,北京联合永道软件股份有限公司,20001,30000,成都,武侯,桂溪,本科,3-5年,500-999人,民营,全职,2025-07-09 09:05:18,嵌入式系统开发，MCU相关，有c++基础1、 计算机，通信，电子工程或相关专业本科以上学历，2、熟悉C，C++，熟悉汇编、Python语言更佳；3、熟悉AUTOSAR、OSEK规范及多核MCU架构，并使用过AUTOSAR开发工具链优先；4、熟悉汽车电子编码规范MISAR-C；5、熟悉底层驱动，熟悉CAN、LIN、ETH等总线；6、熟悉计算机操作系统原理机制与实现；7、熟悉汽车控制器应用SWC设计，...,Boss直聘,,,,,,,,,
后端开发工程师,成都爱维译科技有限公司,9001,12000,成都,武侯,石羊,本科,5-10年,20-99人,民营,全职,2025-07-09 09:00:01,【该岗位需根据项目需要出差】 职责描述： （1） 根据项目需求规格说明，编写软件设计文档； （2） 根据功能需求，搭建高维护性的后端架构，对整体架构进行分析与完善； （3） 编写高质量代码，对后端程序的可用性、易用性、兼容性负责； （4） 配合前端开发人员制定服务接口并实现交互与调试，使界面和功能得以实现； （5） 参与完成产品性能优化、关键技术问题攻关等工作； （6） 负责软件集成、部署、发布等...,Boss直聘,,,,,,,,,
Java/python/js/c++任意一种,外企德科数字技术有限公司,15001,30000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:29,【任职要求】 专业知识要求： 1、本科及以上学历； 2、热爱编程，基础扎实，熟悉掌握JAVA/C++/C/Python/JS等编程语言中的一种，有良好的编程习惯； 3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践； 其他要求： 1、有较强的自学能力和良好的语言表达能力，具备良好的团队协作精神； 2、热爱技术研发工作，热爱研究前瞻性技术，技术视野广阔。,Boss直聘,,,,,,,,,
java测试,四川喵喔文化传媒有限公司,10001,12000,成都,金牛,荷花池,高中,经验不限,20-99人,,全职,2025-07-09 09:18:25,岗位内容：1. 建立和维护软件产品的测试计划和策略。2. 负责软件测试阶段的进度管理和问题跟踪。3. 审查需求文档，识别并管理关键的测试风险。4. 持续改进测试流程和工具，提高测试效率和质量。5. 向其他团队成员提供培训和支持。任职要求：1. 五年以上软件测试工作经验。2. 精通测试常见工具和框架（如JIRA、TestRail、Appium）。3. 熟悉测试理论和流程，能够制定测试计划和策略。4....,Boss直聘,,,,,,,,,
java测试,四川优新达企业管理有限公司,11001,13000,成都,成华,跳蹬河,高中,经验不限,20-99人,,全职,2025-07-09 08:49:05,岗位内容：1. 设计和执行测试用例，并记录测试结果。2. 分析并报告软件缺陷，包括重现步骤、缺陷严重程度和影响范围。3. 参与产品设计过程，提供测试建议和反馈。4. 开发自动化测试脚本和工具。5. 执行性能和负载测试的任务。任职要求：1. 具有本科以上学历，计算机科学或相关领域优先。2. 熟悉测试方法论和流程，能够编写高质量的测试用例。3. 熟练使用至少一种自动化测试框架和脚本语言（如Seleni...,Boss直聘,,,,,,,,,
全国均有岗位（开发、测试、算法、数据分析等）,外企德科数字技术有限公司,15001,30000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:29,岗位要求：一、软件开发工程师1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；二、软件测试工程师：1. 热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功底；2.有web开发或测试经验、自动化开发或测试经验...,Boss直聘,,,,,,,,,
java初级工程师,四川领航选汽车销售有限公司,11001,12000,成都,龙泉驿,大面,本科,1-3年,20-99人,民营,全职,2025-07-09 01:24:01,岗位内容：1. 开发高质量的Java应用程序，保证代码的可读性、可维护性、可扩展性和性能。2. 参与需求分析、系统设计和开发计划的制定。3. 能够快速识别问题并提供有效的解决方案。4. 与产品和测试团队紧密合作，确保产品质量符合用户期望。任职要求：1. 精通Java编程语言和Spring框架，有大型项目开发经验。2. 拥有扎实的计算机基础，熟练掌握面向对象编程思想和设计模式。3. 熟练使用常见的W...,Boss直聘,,,,,,,,,
工业通信软件开发工程师,成都华远焊接设备股份有限公司,10001,20000,成都,双流,黄甲,本科,3-5年,300-499人,民营,全职,2025-07-09 00:19:41,岗位职责：1、 负责电焊机的通信功能开发，实现与机器人、PLC的主站设备的通信。2、 根据开发规范与流程，独立完成详细设计与编码。3、 对承担模块的开发进度和代码质量负责，确保软件设计及实现工作按时完成。4、 负责软件的自测试及系统联调。岗位要求：1、 本科及以上学历，机械电子、电气、控制、通信、计算机相关专业，3年以上行业经验。2、 熟悉STM32F4单片机，熟悉RTOS操作系统，熟练掌握嵌入式,Boss直聘,,,,,,,,,
Java/Python/C/C++岗位,外企德科数字技术有限公司,17001,30000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:25:28,1. 熟悉Java/Python/C/C++任何一种语言2. 具备扎实的计算机基础，熟悉数据结构、算法和网络编程等知识点。3. 具备初步的Web开发经验，熟悉HTML、CSS、JavaScript等前端技术。4. 具有较强的自学能力、问题解决能力和团队协作能力。,Boss直聘,,,,,,,,,
中级java工程师,民航成都电子技术有限责任公司,10001,15000,成都,新津,普兴,硕士,1-3年,500-999人,国企,全职,2025-07-09 00:02:21,岗位职责：1.JAVA基础扎实，理解JVM原理；2. 熟悉SpringBoot、SpringCloud技术框架，熟练掌握Spring MVC、基于SpringBoot的微服务框架,Boss直聘,,,,,,,,,
中高级java工程师,四川速正质控大数据有限公司,10001,12000,成都,金牛,金泉,本科,5-10年,20-99人,民营,全职,2025-07-09 00:09:22,一、岗位要求：1.五年及以上的JAVA专职开发经验，熟悉掌握Spring Boot、mybatis-plus等SSM主流架构；2.熟悉redis，Elasticsearch的使用； 3.熟练使用SqlServer、MySql数据库操作及SQL语句编写调优,Boss直聘,,,,,,,,,
Java/C/C++/Python/JS 昇腾计算 接受无经验,外企德科数字技术有限公司,14001,28000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:31,C/C++/Python/Java会一种语言即可，挂的是通用岗位JD，接受无经验同学，欢迎投递！职位描述：1) 应用软件开发和维护；2) 根据项目需求参与软件的设计、开发、测试及维护；任职要求：1) 本科及以上学历，有毕业证和学位证；2）熟练掌握C/C++语言，具备基本的算法和数据结构等编程基础，熟悉gcc，make编译环境；3) 具备Python和shell脚本开发经验；4) 具备Linux环境...,Boss直聘,,,,,,,,,
Java软件工程师,民航成都电子技术有限责任公司,10001,16000,成都,,普兴,硕士,经验不限,500-999人,国企,全职,2025-07-09 00:14:02,计算机软件及相关专业毕业 1、能独立进行系统的软件开发； 2、能独立进行系统的部署与调试； 3、根据客户需求，能完成客户化报表的定制； 4、负责功能测试或集成测试过程错误排查与修正； 5、参与项目方案讨论和技术调研、负责相关文档的编写。 岗位要求： 1、计算机软件及相关专业毕业； 2、2年以上Java软件开发经验； 3、熟悉SSH架构 4、有Web开发项目经验； 5、熟悉Oracle或SQL Se...,Boss直聘,,,,,,,,,
