岗位名称,企业名称,最低薪资,最高薪资,工作城市,工作区域,工作街道,学历要求,工作年限要求,企业规模,企业性质,工作类型,岗位发布时间,岗位要求,source,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求,任意一种计算机语言都可以～都在招哦～全国多个城市在招,偶尔加班若加班一天工作时间不超过10小时， 具体时间以项目告知为准 4.能一周左右入职 5.工作地点,善于寻求资源解决问题;对工作的熟悉度提升后，有自己创新的想法。表现出解决复杂问题的能力。6.可独立领导跨组的项目;在专业方面可以指导和培养新员工任职条件,工作稳定。入职即签合同，六险一金，社保全额，有带教！地点:北京 上海 杭州 苏州 南京 成都 武汉 西安 深圳 东莞全程线上面试，下午茶齐全，夜宵备好，城际班车。硬件开发/嵌入式开发/AI/算法/通用软件开发测试等都有职位。java/c/++/python/测试/GO/前端职位描述,开展后端服务的设计、开发、测试等工作；3、根据实际业务需求，完成各类设计文档、分析报告、ppt等材料的部分内容；4、根据部门领导安排的其他工作任务。 岗位要求,程序设计；3.根据设计文档或需求说明完成代码编写，调试，测试和维护；4.分析并解决软件开发过程中的问题；5.协助测试工程师制定测试计划，定位发现的问题；6.配合项目经理完成相关任务目标。任职要求,能提出优化建议。二、 任职要求,负责对应模块的需求管理；2、完成所负责模块的详细设计和接口设计； 3、负责分配到的开发任务或项目的进度控制；4、负责开发过程中异常情况的检核、报告、追踪和改善；5、负责自己开发的功能点的单元测试工作，并确保功能点品质。任职要求
财务科技-Java开发工程师（费控方向）,北京三快在线科技有限公司,0,0,成都,,,本科,1-3年,1000-9999人,上市公司,全职,2025-07-10 10:40:38,财务平台负责公司整体和各业务层面的财务管理工作，通过建设专业、全面、复合的财务管理能力和与业务经营的紧密结合来支持公司健康发展。目前财务平台拥有财务会计、财务报告、资金管理、税务管理、财务共享、财务系统、规划分析、财务BP和内控内审等主要工作方向。我们的目标是建设业界一流的财务管理能力和经营支持体系，为公司战略的正确落地、投入效率的持续提升、业务价值的不断增长保驾护航。欢迎加入财务平台，携手一起向...,Boss直聘,,,,,,,,,
java开发,上海微创软件股份有限公司,8001,9000,成都,武侯,桂溪,本科,1-3年,10000人以上,合资,全职,2025-07-10 09:05:46,岗位职责： 负责百度数据中心资源运营平台的研发- 负责系统/平台的性能优化，提升可靠性和扩展能力- 探索新技术，并运用到研发工作中，用数据和技术驱动产品发展 任职要求： 1-3年以上软件研发经验 - 熟练掌握Java，熟悉常用的编程思想和设计模式，熟悉J2EE相关编程和框架，如Spring Boot，mybatis等 - 数据结构和算法基础扎实，熟悉linux操作系统、网络、数据库相关知识 - 有...,Boss直聘,,,,,,,,,
JAVA开发工程师（成都）,重庆泓宝科技股份有限公司,8001,15000,成都,高新区,桂溪,本科,1-3年,300-499人,民营,全职,2025-07-10 09:48:53,岗位职责 1. 参与系统需求分析与设计，负责编写软件设计文档 2. 负责软件架构设计和技术框架选型，负责核心模块的编码开发 3. 带领技术团队完成项目开发工作，对工作任务进行分解，对代码质量进行管控岗位要求 1. 计算机、软件或信息工程等相关专业，本科及以上学历，开发经验不限； 2. 扎实的java编程基础，熟悉JVM，熟悉IO、多线程、集合等基础框架； 3. 掌握Spring Boot、Spri...,Boss直聘,,,,,,,,,
闪购-高级Java开发工程师（供应链执行方向）,北京三快在线科技有限公司,0,0,成都,,,本科,1-3年,1000-9999人,上市公司,全职,2025-07-10 10:57:20,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,Boss直聘,,,,,,,,,
java开发,北京易才博普奥管理顾问有限公司,15001,25000,成都,双流,华阳,本科,3-5年,1000-9999人,民营,全职,2025-07-10 09:27:40,工作职责：1、互联网保险中台产品设计与研发；2、与产品经理和客户沟通，将业务需求抽象并转化为系统设计模型以及代码实现；3、完善开发质量保障体系；4、指导初级工程师进行开发。任职要求：1、统招本科及以上学历，计算机、通信等相关专业，3年以上工作经验；2. 熟练运用Java,Boss直聘,,,,,,,,,
Java开发工程师,东华软件股份公司,0,0,成都,武侯,桂溪,本科,1-3年,1000-9999人,上市公司,全职,2025-07-10 00:14:02,1. 参与基于JAVA技术的应用系统开发；2. 参与需求分析，根据具体的模块需求，独立完成模块的设计编码工作；3. 负责所开发模块的故障修复、性能调优等；4. 根据开发规范与流程完成系统设计、编码、测试以及相关文档的编写；1. 熟练掌握Java、HTML/Javascript/CSS，JSP/Servlet、JDBC等JAVAEE相关技术；2. 熟练掌握Oracle，MySQL等数据库；3. 熟练...,Boss直聘,,,,,,,,,
闪购-高级Java开发工程师（供应链计划方向）,北京三快在线科技有限公司,0,0,成都,,,本科,1-3年,1000-9999人,上市公司,全职,2025-07-10 10:57:24,美团核心本地商业下业务研发平台，基于公司“零售+科技”的战略导向，通过从底层架构到应用系统、从软件到硬件、从传统算法到GenAI的全方位技术研究，以及开发、运维、安全等全流程能力建设，致力于推动美团核心本地商业下需求侧与供给侧的数字化和智能化升级，助力业务实现高质量增长，优化用户使用体验，提升商户经营水平，促进行业生态伙伴关系的持续健康发展。团队秉持务实、自驱、开放以及追求卓越的工程师文化，一方面...,Boss直聘,,,,,,,,,
java开发,外企德科数字技术有限公司,14001,15000,成都,武侯,桂溪,本科,3-5年,10000人以上,合资,全职,2025-07-10 00:26:50,岗位职责1.参与商品系统相关的业务需求研发、联调、跟测、上线;2.与产品、前端及测试协作共赢，高效进行研发工作；3.能够一定程度的进行项目总结、统计、知识沉淀，并推动项目持续进展。岗位基本需求1.本科及以上学历，3年以上Java开发经验，电商系统建设经验2.Java基础扎实，熟悉多线程、集合、泛型、反射、注解等3.了解MySQL的原理，了解数据库索引、事务、锁的使用4.熟悉Spring、MyBat...,Boss直聘,,,,,,,,,
Java开发工程师,东华医为科技有限公司,8001,15000,成都,武侯,桂溪,本科,3-5年,1000-9999人,民营,全职,2025-07-10 00:28:23,岗位职责：1. 负责公司产品的开发与维护，编写高质量的代码；2. 参与项目需求分析与设计，提供技术方案；3. 协助团队完成项目开发，确保项目进度和质量。岗位要求：1. 本科及以上学历，计算机相关专业；2. 2-6年Java开发经验，熟练掌握Java语言及相关开发技术；3. 熟悉前端框架，jquery、Vue、Node，能独立完成前后端开发任务。4. 熟悉oracle，mysql，pg等主流数据库5...,Boss直聘,,,,,,,,,
Java开发工程师,四川世纪银通科技有限公司,10001,15000,成都,武侯,桂溪,本科,3-5年,100-299人,民营,全职,2025-07-10 00:24:02,一、基本任职条件计算机科学与技术、软件工程、信息安全等相关专业，本科及以上学历。具备 5年及以上软件开发经验，其中至少 3年使用 Java 语言进行项目开发的经验。二、技术能力要求编程语言：熟练掌握 Java 编程语言，深入理解 Java 面向对象编程思想，熟悉多线程、并发编程、JVM 原理等知识。开发框架：精通 Spring Boot 框架，能够熟练运用其进行项目搭建、配置和开发，熟悉 Spri...,Boss直聘,,,,,,,,,
成都Java开发,外企德科数字技术有限公司,12001,14000,成都,武侯,桂溪,学历不限,经验不限,10000人以上,合资,全职,2025-07-10 00:25:22,岗位职责1、负责结算业务及平台系统的功能分析、系统设计、功能开发；2、保障结算系统日常运维工作正常进行。岗位基本需求1、3年以上Java开发经验；2、JAVA基础扎实，理解io、多线程、集合等基础框架，熟悉Spring、Mybatis等主流的java开源框架，并清楚其实现原理；3、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、搜索等机制；能合理运用分布式常用技术解决问题；4、熟悉MySQL，...,Boss直聘,,,,,,,,,
Java开发工程师-自研,东华软件股份公司,11001,13000,成都,武侯,桂溪,本科,1-3年,1000-9999人,上市公司,全职,2025-07-10 00:14:40,岗位职责：1、开发和维护服务器端应用程序2、需求分析与设计3、开发文档编写任职要求：熟悉Spingboot、MyBaits plus等常用Java框架,Boss直聘,,,,,,,,,
java开发,中软国际,0,0,成都,武侯,桂溪,本科,3-5年,10000人以上,上市公司,全职,2025-07-09 23:34:08,1. 本科以上学历； 2. 3年以上Java开发经验，具有扎实的Java基础，熟悉Java多线程、并发相关知识； 3. 熟悉并掌握Spring，SpringMVC或Struts2，MyBatis或Hibernate等主流开源Web应用框架以及Web微服务框架； 4. 熟悉常用Linux命令，熟悉服务器应用部署； 5. 熟练掌握Oracle、MySQL等常用数据库； 6. 熟悉分布式架构、缓存(Re...,Boss直聘,,,,,,,,,
高薪诚聘JAVA开发工程师 (高额年终奖),外企德科数字技术有限公司,14001,28000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:26:33,全国均有岗位(开发、测试、算法等)岗位要求:一、软件开发工程师1.热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言扎实的编程功底:2.具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术;二、软件测试工程师:1.热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功底;2.有web开发或测试...,Boss直聘,,,,,,,,,
中级Java开发工程师,成都易联智通信息技术有限公司,9001,13000,成都,武侯,桂溪,本科,3-5年,100-299人,民营,全职,2025-07-09 20:27:28,岗位职责： 1.参与项目需求和设计的沟通讨论. 2.理解业务需求和概要设计，完成详细设计、代码编写和单元测试; 3.协助将分配任务进行细化分解，完成系统各项核心功能开发任务。 任职要求： 1. 4年以上Java相关开发经验，计算机软件或相关专业本科以上学历; 2.具备扎实的编程基础，能按时，独立、高质量的完成开发任务; 3.熟练掌握Spring boot/Spring MVC，Mybatis 等主...,Boss直聘,,,,,,,,,
