岗位名称,企业名称,最低薪资,最高薪资,工作城市,工作区域,工作街道,学历要求,工作年限要求,企业规模,企业性质,工作类型,岗位发布时间,岗位要求,source,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求,任意一种计算机语言都可以～都在招哦～全国多个城市在招,偶尔加班若加班一天工作时间不超过10小时， 具体时间以项目告知为准 4.能一周左右入职 5.工作地点,善于寻求资源解决问题;对工作的熟悉度提升后，有自己创新的想法。表现出解决复杂问题的能力。6.可独立领导跨组的项目;在专业方面可以指导和培养新员工任职条件,工作稳定。入职即签合同，六险一金，社保全额，有带教！地点:北京 上海 杭州 苏州 南京 成都 武汉 西安 深圳 东莞全程线上面试，下午茶齐全，夜宵备好，城际班车。硬件开发/嵌入式开发/AI/算法/通用软件开发测试等都有职位。java/c/++/python/测试/GO/前端职位描述,开展后端服务的设计、开发、测试等工作；3、根据实际业务需求，完成各类设计文档、分析报告、ppt等材料的部分内容；4、根据部门领导安排的其他工作任务。 岗位要求,程序设计；3.根据设计文档或需求说明完成代码编写，调试，测试和维护；4.分析并解决软件开发过程中的问题；5.协助测试工程师制定测试计划，定位发现的问题；6.配合项目经理完成相关任务目标。任职要求,能提出优化建议。二、 任职要求,负责对应模块的需求管理；2、完成所负责模块的详细设计和接口设计； 3、负责分配到的开发任务或项目的进度控制；4、负责开发过程中异常情况的检核、报告、追踪和改善；5、负责自己开发的功能点的单元测试工作，并确保功能点品质。任职要求
java实习生,成都明兴信息技术有限公司,1001,2000,成都,武侯,桂溪,大专,经验不限,20-99人,民营,全职,2025-07-01 16:34:14,1.完成软件系统代码的实现，编写代码注释和开发文档；2.辅助进行系统的功能定义,Boss直聘,,,,,,,1、年龄21-26岁，大专及以上学历（有无经验均可）；2.了解常用的开发框架，会vue前端优先；3.了解redis/mong...,,
中高级java工程师,成都图巧科技有限公司,15001,25000,成都,武侯,桂溪,本科,5-10年,1000-9999人,民营,全职,2025-07-01 15:38:28,岗位职责： 1、负责鱼泡直聘核心业务相关应用的开发工作； 2、深入理解业务需求，分析并发现系统瓶颈，推动系统性能以及稳定性提升； 3、对技术有热情，对技术能力有中长期的规划，持续学习，有总结沉淀能力。 任职要求： 1、本科及以上学历，计算机、软件工程相关专业，5年以上互联网研发工作经验； 2、熟悉Java语言，具备扎实的Java基础，熟悉IO、多线程等基础技术，对多线程使用、并发处理、JVM基本原...,Boss直聘,,,,,,,,,
通用软件开发--（接受无经验+考研断档）,外企德科数字技术有限公司,15001,30000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:28,1.有扎实的Java基础，JVM、Java多线程;2.熟悉springMVC开发模式；3.熟悉工作流及集成接口对接实现方式；4.使用过或想要学习 springboot开发，spring cloud微服务治理框架；5.熟悉SQL脚本编写，有良好的SQL编码习惯，有SQL调优经验优先；6、熟悉主流Java开源应用框架，如Spring等；7、熟悉关系型数据库MySQL、Oracle等；8、熟悉Docke...,Boss直聘,,,,,,,,,
SAP-ABAP开发,软通动力信息技术(集团)股份有限公司,14001,16000,成都,武侯,石羊,本科,5-10年,10000人以上,民营,全职,2025-07-01 14:27:12,工作职责:负责软件系统后台整体架构规划并落地实施;参与产品需求分析和技术方案设计，负责核心功能模块的详细设计和代码实现:2、3、负责开发团队任务分配，参与团队的代码审查和质量控制，建立和完善代码规范和开发流程;持续关注系统的运行状态，保障系统稳定运行。4、任职要求:1.5年以上SAP ABAP开发工作经验:2.报表开发技术，精通:ALV、OOALV、Dialog、List，熟练:Query、Rep...,Boss直聘,,,,,,,,,
Java（物联网项目）,成都迈思信息技术有限公司,9001,10000,成都,武侯,肖家河,大专,3-5年,1000-9999人,民营,全职,2025-07-01 11:01:17,工作内容 1．物联网协议开发与维护(1)熟悉MQTT、CoAP、HTTP/HTTPS等物联网通信协议，能够进行协议适配和优化。(2)负责设备接入、数据采集及云端通信的协议对接与调试。2．Linux系统运维与管理(1)熟练使用Linux（如Ubuntu/CentOS）进行系统部署、配置、监控及故障排查。(2)掌握Shell/Python脚本编写，实现自动化运维任务。3．网络安全方面(1)网络安全实战...,Boss直聘,,,,,,,,,
Java/C/C++/python/GO/web/测试,外企德科数字技术有限公司,12001,24000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:26,招聘要求：1、熟悉C/C++、Java、Scala、Python、JS等开发语言一种或多种；2、经验不限，具有较好的代码能力和的学习能力、自驱力； 3、具有一定的技术架构思维，确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性，前瞻性； 4、参与系统以提升效率为目的的整体的优化、改进，出现问题时能够通过较强的技术手段较好的解决问题。,Boss直聘,,,,,,,,,
后端开发工程师,民航成都电子技术有限责任公司,12001,15000,成都,新津,普兴,硕士,经验不限,500-999人,国企,全职,2025-07-01 00:03:21,岗位职责:1、承担部分JAVA技术栈产品开发或设计工作，并能够按要求、高质量地与小组完成产品迭代开发与设计任务；2、负责协同技术架构师，进行产品框架迭代优化。3、负责协同产品经理，完成产品技术文档、科研产出论文专利的编写。任职要求：1、硕士研究生2、熟练掌握基于springboot的微服务框架，并能根据业务需求选择合适的网关、认证、注册中心、配置中心、服务降级、服务调用以及业务公共模块提取；3、熟...,Boss直聘,,,,,,,,,
嵌入式软件开发,中国兵器装备集团自动化研究所有限公司,13001,23000,成都,双流,华阳,硕士,3-5年,1000-9999人,国企,全职,2025-07-01 00:02:02,岗位职责：1.进行嵌入式产品软件需求对接及开发设计；2.完成嵌入式设备操作系统适配、驱动开发、接口功能实现及设备性能优化；3.负责嵌入式产品单元测试及相关技术支撑，保障产品稳定交付；4.编辑完成产品软件开发相关流程技术文档。5. 协助硬件工程师完成硬件调试，确保硬件与软件的兼容性。6.提供现场技术支持，解决产品在测试、生产和应用过程中出现的软件问题。7.编写技术文档，包括设计文档、测试文档、用户手...,Boss直聘,,,,,,,,,
c/c++/java/python/测试/大数据/前端等【全国地区】,外企德科数字技术有限公司,12001,24000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:26:28,岗位内容：1. 技术方案的设计和优化，对技术问题进行跟踪解决；2. 负责工程项目的整体进度规划，保证工期、质量、安全达标；3. 及时掌握国内外技术动态并将其应用到实践中；4. 完善设计流程，提高设计效率和质量；任职要求：1. 本科及以上学历2. 精通C/C++、Python等编程语言。 3.运维、前端、测试岗位都可以接受无经验以及转行,Boss直聘,,,,,,,,,
嵌入式应用软件开发工程师/双休,四川同创凯宏人力资源管理有限公司,10001,15000,成都,双流,华阳,本科,3-5年,20-99人,民营,全职,2025-06-30 18:02:34,用人单位：成都（大型）央企 薪资待遇：10k-15k/月，五险一金，食堂及其他福利待遇补贴； 上班时间：9：00-17：00，周末双休，节假日正常放假； 岗位要求： 1.工作三年及以上，熟练掌握c/c++语言，掌握常用数据结构和算法，了解软件工程; 2.有一定的底层开发经验，熟悉linux系统，熟悉多线程编程、网络编程; 3.能够熟练阅读英文技术资料; 3.较强的学习能力和问题分析能力；实事求是的...,Boss直聘,,,,,,,,,
