岗位名称,企业名称,最低薪资,最高薪资,工作城市,工作区域,工作街道,学历要求,工作年限要求,企业规模,企业性质,工作类型,岗位发布时间,岗位要求,source,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求,任意一种计算机语言都可以～都在招哦～全国多个城市在招,偶尔加班若加班一天工作时间不超过10小时， 具体时间以项目告知为准 4.能一周左右入职 5.工作地点,善于寻求资源解决问题;对工作的熟悉度提升后，有自己创新的想法。表现出解决复杂问题的能力。6.可独立领导跨组的项目;在专业方面可以指导和培养新员工任职条件,工作稳定。入职即签合同，六险一金，社保全额，有带教！地点:北京 上海 杭州 苏州 南京 成都 武汉 西安 深圳 东莞全程线上面试，下午茶齐全，夜宵备好，城际班车。硬件开发/嵌入式开发/AI/算法/通用软件开发测试等都有职位。java/c/++/python/测试/GO/前端职位描述,开展后端服务的设计、开发、测试等工作；3、根据实际业务需求，完成各类设计文档、分析报告、ppt等材料的部分内容；4、根据部门领导安排的其他工作任务。 岗位要求,程序设计；3.根据设计文档或需求说明完成代码编写，调试，测试和维护；4.分析并解决软件开发过程中的问题；5.协助测试工程师制定测试计划，定位发现的问题；6.配合项目经理完成相关任务目标。任职要求,能提出优化建议。二、 任职要求,负责对应模块的需求管理；2、完成所负责模块的详细设计和接口设计； 3、负责分配到的开发任务或项目的进度控制；4、负责开发过程中异常情况的检核、报告、追踪和改善；5、负责自己开发的功能点的单元测试工作，并确保功能点品质。任职要求
java开发工程师（零售+库存管理）,成都数智邻购科技有限公司,13001,20000,成都,武侯,桂溪,本科,5-10年,20-99人,民营,全职,2025-06-20 00:24:03,岗位职责1. 全流程系统开发与协作：深度参与美业、零售+仓库管理系统全生命周期开发，主导需求分析、产品功能设计及技术方案制定。与产品、运营团队紧密协作，准确提炼业务需求，输出技术可行性方案，确保系统功能满足业务场景需求，推动系统按时上线，保障项目交付及时率达95%以上。 2. 核心开发与技术保障：负责系统详细设计、核心模块编码实现，组织并参与代码Review，严格把控代码质量，确保代码符合高内聚低...,Boss直聘,,,,,,,,,
Java开发工程师,京北方,12001,16000,成都,锦江,春熙路,本科,5-10年,10000人以上,民营,全职,2025-06-20 17:25:18,岗位描述：1、负责保险公司计量平台&数据平台项目的分析、设计、开发工作，以保证能够按期交付，并稳定运行；2、参与相关项目的设计、评审、开发，保障系统能够按照需求达到预期效果。任职要求：1、项目复杂度有要求，有深耕一到两个复杂项目的经验（深耕指经历项目开发、上线、运维全流程，并在该项目有2年以上经验）。不能是简单的管理系统2、要具备微服务开发经验，对自动任务有开发经验3、具备SQL调优经验，数据库数...,Boss直聘,,,,,,,,,
java开发工程师,成都同村科技有限公司,5001,10000,成都,,二仙桥,本科,经验不限,20-99人,民营,全职,2025-06-20 00:14:03,1. 岗位职责： 1). 基于客户需求完成技术方案的设计； 2). 产品代码的编写； 3). 对相关的产品功能进行测试； 4). 维护内部已有系统使之保持稳定性与可用性； 2. 岗位要求： 1). 本科或以上学历，计算机软件相关专业背景； 2). JAVA基础扎实牢靠； 3). 有面向对象编程思想； 4). 有高并发系统开发经验优先； 5). 熟悉SpringBoot,Boss直聘,,,,,,,,,
java开发工程师,北京才鼎通科技有限公司,8001,14000,成都,武侯,石羊,本科,3-5年,100-299人,民营,全职,2025-06-19 09:47:41,工作职责：1、编写代码，实现软件模块的功能，并遵循编码规范和最佳实践。2、与需求顾问、测试工程师、前端工程师等团队成员紧密合作，确保项目的顺利进行。3、编写软件设计文档、技术文档和用户手册，确保文档清晰、准确、易于理解。4、参与项目需求分析、技术评审和代码审查，任职资格：1、计算机科学与技术、软件工程或相关专业，统招公办本科及以上学历。2、3年以上开发经验，熟悉软件开发流程。3、熟练掌握Java和...,Boss直聘,,,,,,,,,
Java开发工程师,京北方,11001,16000,成都,武侯,桂溪,本科,5-10年,10000人以上,民营,全职,2025-06-20 17:23:58,岗位职责：1、承担后端日常开发工作，按时完成需求开发任务2、测试环境、生产环境问题排查査分析3、配合测试人员完成测试工作以及配合完成上线工作;4、持续进行服务优化技术能力:1、学信网可查统本双证毕业（硬性要求），3年以上Java开发经验；2、精通JAVA语言，熟悉常用框架（springboot、springcloud等），熟悉分布式、多线程、缓存、消息等高性能架构相关开发技术;3、熟练掌握主流数据...,Boss直聘,,,,,,,,,
java开发（初中高级）,久远银海,6001,12000,成都,锦江,柳江,本科,1-3年,1000-9999人,上市公司,全职,2025-06-19 00:02:41,工作职责：1. 承担项目开发及实施工作，并能够按要求高质量地完成工作任务。2. 掌握项目开发工具的使用，按照公司规范要求，编写相关文档。3. 掌握公司开发平台，按设计要求编写模块代码，并进行单元测试。4、对系统开发设计有很好的把握能力。任职要求：1. 计算机相关专业，1年以上Java软件开发工作经验；2. 熟练使用java语言进行功能开发，熟悉IO、多线程、集合等基础知识3. 熟悉开源框架及技术，...,Boss直聘,,,,,,,,,
java开发工程师实习生,南京坦道信息科技有限公司,2001,4000,成都,青羊,光华,本科,经验不限,100-299人,民营,全职,2025-06-18 17:43:40,工作职责：1、协助软件开发工程师项目的前期准备、维护工作；2、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务。岗位要求：1、一本及以上学历，2026届毕业生，计算机、软件、算法相关专业；2、熟练掌握Java语言，具备扎实的程序设计基本功和学习能力，熟悉Java B/S结构开发，熟悉Spring/SpringMVC/Springboot等开源框架； 3、熟悉以下至少一种数据库：Pos...,Boss直聘,,,,,,,,,
java开发工程师,京北方,13001,16000,成都,武侯,石羊,本科,3-5年,10000人以上,民营,全职,2025-06-20 14:12:18,工作职责 ：1.负责金融类应用产品后端研发工作；2.具有独立开发的能力；3.负责系统分析与设计，并负责完成核心代码；4.根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档任职资格 ：1.本科以上学历，计算机相关专业，3年以上Java产品开发经验，熟练使用主流微服务架构;2.JAVA基础扎实，精通IO、多线程、集合等基础框架，缓存，并了解底层原理；3.有相关高并发、高可用的后端项目经验；3...,Boss直聘,,,,,,,,,
Java开发工程师,久远银海,6001,12000,成都,锦江,柳江,本科,经验不限,1000-9999人,上市公司,全职,2025-06-19 00:36:21,工作职责： 1. 承担项目开发及实施工作，并能够按要求高质量地完成工作任务。 2. 掌握项目开发工具的使用，按照公司规范要求，编写相关文档。 3. 掌握公司开发平台，按设计要求编写模块代码，并进行单元测试。 4. 持续不断探索前沿开发技术，研究和开发创新技术产品 任职要求： 1. 计算机相关专业，经验不限（接受25届应届生）； 2. 熟练使用java,Boss直聘,,,,,,,,,
银行中级java开发工程师,中科软科技股份有限公司,14001,15000,成都,金牛,西安路,本科,3-5年,1000-9999人,股份制企业,全职,2025-06-17 17:25:37,岗位职责：1.具有5年以上应用系统的分析设计经验；具备高级程序员能力； 2.熟悉商业银行系统尤其是核心及周边系统架构的优先； 3.有过3年以上银行系统开发项目经验； 4.精通Java语言，熟练掌握面向对象的开发方法； 5.精通jsp，javascript，Ajax各种前台技术； 6.熟悉j2ee主流技术，熟练使用各类开源框架，如：Spring、SpringMVC、SpringBoot、MyBati...,Boss直聘,,,,,,,,,
