岗位名称,企业名称,最低薪资,最高薪资,工作城市,工作区域,工作街道,学历要求,工作年限要求,企业规模,企业性质,工作类型,岗位发布时间,岗位要求,source,js 有深度学习，机器学习，搜索，推荐等算法经验优先。 任职要求,任意一种计算机语言都可以～都在招哦～全国多个城市在招,偶尔加班若加班一天工作时间不超过10小时， 具体时间以项目告知为准 4.能一周左右入职 5.工作地点,善于寻求资源解决问题;对工作的熟悉度提升后，有自己创新的想法。表现出解决复杂问题的能力。6.可独立领导跨组的项目;在专业方面可以指导和培养新员工任职条件,工作稳定。入职即签合同，六险一金，社保全额，有带教！地点:北京 上海 杭州 苏州 南京 成都 武汉 西安 深圳 东莞全程线上面试，下午茶齐全，夜宵备好，城际班车。硬件开发/嵌入式开发/AI/算法/通用软件开发测试等都有职位。java/c/++/python/测试/GO/前端职位描述,开展后端服务的设计、开发、测试等工作；3、根据实际业务需求，完成各类设计文档、分析报告、ppt等材料的部分内容；4、根据部门领导安排的其他工作任务。 岗位要求,程序设计；3.根据设计文档或需求说明完成代码编写，调试，测试和维护；4.分析并解决软件开发过程中的问题；5.协助测试工程师制定测试计划，定位发现的问题；6.配合项目经理完成相关任务目标。任职要求,能提出优化建议。二、 任职要求,负责对应模块的需求管理；2、完成所负责模块的详细设计和接口设计； 3、负责分配到的开发任务或项目的进度控制；4、负责开发过程中异常情况的检核、报告、追踪和改善；5、负责自己开发的功能点的单元测试工作，并确保功能点品质。任职要求
Java软件开发工程师（中级）,成都中环科创科技有限公司,10001,12000,成都,武侯,桂溪,大专,5-10年,20-99人,民营,全职,2025-06-30 16:19:50,岗位职责：1. 参与了解产品、项目的需求分析及系统设计，独立负责后端系统模块的研发；2. 参与到产品运营中的系统运维工作以及需求的迭代开发；3. 及时发现系统运行过程中的问题，分析其成因，并提出解决方案；4. 编制相关技术文档。岗位要求：1.计算机、软件、信息管理、电子相关专业大学大专及以上学历；至少5年以上Java软件开发工作经验；2.精通java，熟练掌握SpringBoot、SpringCl...,Boss直聘,,,,,,,,,
高级开发工程师（Java方向）（北京或成都）,国能信控技术股份有限公司,0,0,成都,武侯,桂溪,本科,3-5年,500-999人,国企,全职,2025-06-30 00:18:03,一、职位概述参与生产监控平台的工业控制业务深化的组件选型、设计、集成与研发工作，涵盖需求调研与分析，能够结合现有产品体系进行自有产品迭代。 二、主要职责1. 项目研发与支持，参与多个大型Java应用系统的研发工作，确保每个项目都能按时、按质、按量完成，同时提供持续的技术支持和维护服务，确保系统的稳定运行。2. 负责生产监控平台组件化沉淀过程中的系统设计、研发、优化和测试工作；3. 负责生产监控集成...,Boss直聘,,,,,,,,,
Java/python/c语言/c++开发岗位,外企德科数字技术有限公司,13001,26000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:27:17,任职要求:1、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/ 等编程语言中的一种或数种，有良好的编程习惯;2、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践;3、对数据结构 算法有一定了解。,Boss直聘,,,,,,,,,
Java后端开发工程师,中国电子系统工程第三建设有限公司,6001,11000,成都,青羊,文家,本科,3-5年,500-999人,国企,全职,2025-06-28 10:01:42,岗位职责：1. 负责公司产品的后端开发工作，确保系统的高效稳定运行。2. 参与项目需求分析与设计，撰写技术文档。3. 与前端工程师协作，完成接口设计及数据交互。4. 协调与配合项目过程中的研发工作；完成领导分配的其它工作；岗位要求：1. 软件专业，本科及以上，具有3年及以上软件开发经验；2. 熟练掌握Java、go等其一语言，有网络编程、数据库、多线程等技术使用经验；3. 熟悉Spring Boo...,Boss直聘,,,,,,,,,
软件开发工程师【Java或Python】,海棠人工智能行业应用系统(天津)有限公司,14001,20000,成都,武侯,桂溪,本科,3-5年,100-299人,民营,全职,2025-06-27 10:33:58,** 3年以上完整软件开发生命周期经验，包括编码规范、代码审查、源代码管理、构建流程、测试和运维经验； ** 2年以上非实习的技术设计或架构经验(包括设计模式、可靠性和系统扩展)； 作为亚马逊PMO团队的软件开发工程师，您将开发工具和自动化解决方案，提升卖家体验并优化跨市场运营效率，具体包括：1. 使用各种技术(JAVA、HTML等)设计、开发和维护可扩展的应用程序2. 构建多平台之间的集成解决方...,Boss直聘,,,,,,,,,
Java/python/C/C++/JS前后端软件开发工程师,外企德科数字技术有限公司,13001,26000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:27,职位描述1、熟练掌握Java、python等主流开发语言的一种，掌握常见的数据结构、了解软件工程、敏捷开发等知识，熟悉常用设计模式；2、了解主流数据库技术，至少精通mysql、postgresql等主流数据库技术中的一种；有SQL语句调优经验，并在中大型项目中实际应用者优先；3、熟悉spring boot，mybatis或flask等常用框架；4、了解分布式系统原理；熟悉ElasticSearch...,Boss直聘,,,,,,,,,
运维开发(一本以上+5年运维+Java+自研正编+双休少加班福利好）,广东善世企业服务集团有限公司,15001,20000,成都,武侯,桂溪,本科,5-10年,100-299人,民营,全职,2025-06-26 19:08:59,运维开发(一本+5年运维+自研正编+双休福利好）岗位职责： 1.作为主导者为国内外业务提供高质IT基础架构及高效的运维服务，保障基础架构平台的稳定性及业务连续性。 2.负责物联网平台的性能监控、系统运行结果分析、问题排查、升级维护工作。 3.负责物联网系统的相关软件上线部署，以及持续集成和持续部署的平台开发。 4.负责数据平台的搭建和运维，结合AI工具和算法模型进行物联网数据智能化分析演进。 5....,Boss直聘,,,,,,,,,
中级全栈开发工程师（Java）,成都思必得信息技术有限公司,10001,13000,成都,武侯,望江路,本科,3-5年,100-299人,民营,全职,2025-06-26 10:11:07,岗位职责1. 负责技术设计、研发设计及设计文档的编写；2. 负责重点系统研发和规划，编写系统核心代码及优化工作；3. 负责系统使用过程中产生缺陷的解决方案提供；4. 负责公司已有系统优化与持续建设；5. 负责研发工作量评估、设计审核、代码审查等软件研发技术活动。任职要求1. 本科及以上学历，计算机科学或软件工程专业优先，具有3年以上相关开发经验；2. 熟练掌握Java基础及标准规范，熟悉Jsp、S...,Boss直聘,,,,,,,,,
java软件开发工程师,外企德科数字技术有限公司,20001,40000,成都,郫都,合作街道,本科,经验不限,10000人以上,合资,全职,2025-07-10 00:24:26,、初级/中级/高级/架构师都需要； 2、对spring/mybatis/mysql/redis有深入的认识和工作经历 3、数量掌握jQuery前端框架 4、熟练使用oracle/mysql数据库， 5、对数据库表设计/定时任务/存储过程/索引等有深入理解和使用经验,Boss直聘,,,,,,,,,
java软件开发工程师,软通动力信息技术(集团)股份有限公司,11001,15000,成都,武侯,石羊,本科,3-5年,10000人以上,民营,全职,2025-06-25 17:06:17,1、3年及以上java开发经验、熟悉springMVC、spring cloud框架； 2、熟练掌握Ajaxa、JQuery、Extjs等前台技术，精通Flex技术，Fusioncharts等图表展现工具，对页面设计、布局有独到的理解； 3、有较强的分析设计能力，扎实的编程基础； 4、熟练使用oracle、mysql等主流数据库、熟练使用redis，SQL能力强优先； 5、精通webservice...,Boss直聘,,,,,,,,,
